,BAREIL,BASHIR,COMPUTER,DAMAR,DAX,DUKAT,EDDINGTON,EZRI,GARAK,JAKE,KASIDY,KEIKO,KIRA,MARTOK,NOG,O'BRIEN,ODO,QUARK,ROM,SISKO,VIC,WEYOUN,WINN,WORF,ZEK,index
rulesofengagement,0.0,2.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,38.0,24.0,24.0,0.0,157.0,0.0,0.0,0.0,69.0,0.0,88.0
sacrificeofangels,0.0,13.0,5.0,71.0,19.0,107.0,0.0,0.0,15.0,12.0,0.0,0.0,42.0,1.0,20.0,29.0,29.0,39.0,26.0,108.0,0.0,50.0,0.0,3.0,0.0,128.0
sanctuary,0.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,148.0,0.0,50.0,21.0,44.0,48.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,29.0
secondsight,0.0,6.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,12.0,0.0,0.0,13.0,26.0,8.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,28.0
secondskin,0.0,11.0,1.0,0.0,23.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,13.0,6.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,50.0
shadowplay,37.0,6.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,64.0,0.0,0.0,30.0,137.0,23.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,35.0
shadowsandsymbols,0.0,17.0,0.0,13.0,0.0,0.0,0.0,122.0,0.0,29.0,0.0,0.0,71.0,23.0,0.0,26.0,26.0,53.0,0.0,76.0,0.0,12.0,0.0,44.0,0.0,150.0
shakaar,0.0,21.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,38.0,16.0,31.0,0.0,39.0,0.0,0.0,101.0,0.0,0.0,69.0
shatteredmirror,0.0,32.0,1.0,0.0,13.0,0.0,0.0,0.0,36.0,67.0,0.0,0.0,79.0,0.0,29.0,102.0,11.0,12.0,0.0,152.0,0.0,0.0,0.0,43.0,0.0,90.0
soldiersoftheempire,0.0,23.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,146.0,9.0,15.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,143.0,0.0,117.0
