,BAREIL,BASHIR,COMPUTER,DAMAR,DAX,DUKAT,EDDINGTON,EZRI,GARAK,JAKE,KASIDY,KEIKO,KIRA,MARTOK,NOG,O'BRIEN,ODO,QUARK,ROM,SISKO,VIC,WEYOUN,WINN,WORF,ZEK,index
battlelines,0.0,78.0,3.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,75.0,6.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,12.0
behindthelines,0.0,5.0,2.0,26.0,18.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,129.0,0.0,9.0,9.0,113.0,44.0,33.0,54.0,0.0,20.0,0.0,8.0,0.0,126.0
blazeofglory,0.0,5.0,5.0,0.0,16.0,0.0,275.0,0.0,0.0,30.0,0.0,0.0,16.0,29.0,65.0,4.0,8.0,21.0,0.0,235.0,0.0,0.0,0.0,2.0,0.0,119.0
bloodoath,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,27.0,9.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,38.0
bodyparts,0.0,26.0,0.0,0.0,9.0,0.0,0.0,0.0,29.0,0.0,0.0,28.0,34.0,0.0,0.0,48.0,2.0,295.0,107.0,10.0,0.0,0.0,0.0,6.0,0.0,95.0
brokenlink,0.0,57.0,0.0,0.0,30.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,27.0,0.0,0.0,23.0,127.0,4.0,0.0,92.0,0.0,0.0,0.0,24.0,0.0,96.0
businessasusual,0.0,18.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,9.0,0.0,0.0,79.0,11.0,214.0,0.0,36.0,0.0,0.0,0.0,9.0,0.0,114.0
byinfernoslight,0.0,70.0,2.0,0.0,33.0,54.0,0.0,0.0,58.0,0.0,0.0,0.0,55.0,37.0,0.0,51.0,0.0,10.0,0.0,83.0,0.0,0.0,0.0,35.0,0.0,111.0
calltoarms,0.0,10.0,3.0,7.0,65.0,33.0,0.0,0.0,30.0,34.0,0.0,0.0,57.0,8.0,22.0,32.0,27.0,27.0,79.0,146.0,0.0,53.0,0.0,28.0,0.0,122.0
captivepursuit,0.0,2.0,7.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,255.0,32.0,35.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,5.0
cardassians,0.0,141.0,0.0,0.0,2.0,68.0,0.0,0.0,90.0,0.0,0.0,17.0,4.0,0.0,0.0,54.0,5.0,1.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,24.0
changeofheart,0.0,68.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,72.0,0.0,62.0,0.0,16.0,0.0,0.0,0.0,159.0,0.0,138.0
childrenoftime,0.0,31.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,44.0,67.0,4.0,0.0,75.0,0.0,0.0,0.0,37.0,0.0,118.0
chimera,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,39.0,229.0,25.0,0.0,31.0,0.0,0.0,0.0,9.0,0.0,162.0
chrysalis,0.0,296.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,52.0,4.0,8.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,153.0
civildefense,0.0,33.0,38.0,0.0,33.0,117.0,0.0,0.0,48.0,45.0,0.0,0.0,61.0,0.0,0.0,70.0,47.0,51.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,52.0
covenant,0.0,6.0,0.0,0.0,0.0,181.0,0.0,6.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,6.0,28.0,2.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,157.0
crossfire,0.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,3.0,203.0,92.0,0.0,29.0,0.0,0.0,0.0,44.0,0.0,83.0
crossover,0.0,137.0,0.0,0.0,4.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,166.0,0.0,0.0,55.0,25.0,35.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,42.0
dax,0.0,39.0,1.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,82.0,10.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,7.0
defiant,0.0,14.0,4.0,0.0,25.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,14.0,9.0,2.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,54.0
destiny,0.0,5.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,79.0,25.0,30.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,60.0
distantvoices,0.0,305.0,0.0,0.0,34.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,30.0,0.0,0.0,58.0,30.0,35.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,63.0
doctorbashiripresume,0.0,174.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,59.0,7.0,30.0,30.0,34.0,0.0,0.0,0.0,2.0,0.0,112.0
dramatispersonae,0.0,54.0,6.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,72.0,105.0,49.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,17.0
duet,0.0,23.0,1.0,0.0,26.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,4.0,78.0,5.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,18.0
emissary,0.0,27.0,36.0,0.0,79.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,130.0,0.0,3.0,113.0,34.0,34.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,1.0
empoknor,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,1.0,0.0,48.0,198.0,3.0,10.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,120.0
equilibrium,0.0,132.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,18.0,0.0,0.0,0.0,5.0,1.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,49.0
explorers,0.0,95.0,2.0,0.0,37.0,19.0,0.0,0.0,0.0,120.0,0.0,0.0,6.0,0.0,0.0,36.0,3.0,5.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,67.0
extrememeasures,0.0,277.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,187.0,29.0,0.0,0.0,34.0,0.0,0.0,0.0,3.0,0.0,171.0
facets,0.0,14.0,4.0,0.0,140.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,3.0,0.0,34.0,17.0,19.0,56.0,24.0,66.0,0.0,0.0,0.0,0.0,0.0,70.0
familybusiness,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,12.0,40.0,0.0,4.0,0.0,0.0,10.0,13.0,241.0,163.0,66.0,0.0,0.0,0.0,0.0,0.0,68.0
farbeyondthestars,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,1.0,0.0,135.0
fascination,42.0,52.0,1.0,0.0,46.0,0.0,0.0,0.0,0.0,52.0,0.0,69.0,80.0,0.0,0.0,129.0,50.0,37.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,55.0
favorthebold,0.0,10.0,0.0,50.0,36.0,65.0,0.0,0.0,15.0,9.0,0.0,0.0,69.0,6.0,21.0,35.0,37.0,64.0,27.0,54.0,0.0,68.0,0.0,15.0,0.0,127.0
ferengilovesongs,0.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,23.0,7.0,256.0,80.0,8.0,0.0,0.0,0.0,6.0,136.0,116.0
fieldoffire,0.0,64.0,5.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,55.0,50.0,6.0,0.0,41.0,0.0,0.0,0.0,15.0,0.0,161.0
forthecause,0.0,19.0,0.0,0.0,5.0,0.0,93.0,0.0,65.0,30.0,97.0,0.0,11.0,0.0,0.0,31.0,41.0,20.0,0.0,186.0,0.0,0.0,0.0,17.0,0.0,92.0
fortheuniform,0.0,0.0,0.0,0.0,95.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,37.0,30.0,34.0,0.0,0.0,277.0,0.0,0.0,0.0,41.0,0.0,109.0
hardtime,0.0,89.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,29.0,10.0,0.0,0.0,239.0,1.0,7.0,0.0,29.0,0.0,0.0,0.0,5.0,0.0,89.0
heartofstone,0.0,9.0,10.0,0.0,24.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,176.0,0.0,97.0,5.0,230.0,16.0,15.0,82.0,0.0,0.0,0.0,0.0,0.0,59.0
hippocraticoath,0.0,146.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,121.0,26.0,21.0,0.0,29.0,0.0,0.0,0.0,31.0,0.0,74.0
hisway,0.0,42.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,13.0,171.0,32.0,0.0,4.0,232.0,0.0,0.0,4.0,0.0,142.0
homefront,0.0,13.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,9.0,0.0,56.0,23.0,96.0,29.0,0.0,162.0,0.0,0.0,0.0,18.0,0.0,81.0
honoramongthieves,0.0,18.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,191.0,4.0,9.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,137.0
ifwisheswerehorses,0.0,68.0,3.0,0.0,99.0,0.0,0.0,0.0,0.0,13.0,0.0,8.0,41.0,0.0,0.0,102.0,63.0,74.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,15.0
imageinthesand,0.0,47.0,0.0,15.0,0.0,0.0,0.0,5.0,0.0,34.0,0.0,0.0,76.0,8.0,6.0,59.0,25.0,32.0,0.0,91.0,23.0,17.0,0.0,25.0,0.0,149.0
improbablecause,0.0,55.0,0.0,0.0,3.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,10.0,0.0,0.0,18.0,191.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,65.0
indiscretion,0.0,13.0,0.0,0.0,23.0,162.0,0.0,0.0,0.0,18.0,53.0,0.0,203.0,0.0,0.0,0.0,12.0,13.0,0.0,72.0,0.0,0.0,0.0,6.0,0.0,75.0
inpurgatorysshadow,0.0,37.0,0.0,0.0,46.0,65.0,0.0,0.0,178.0,0.0,0.0,0.0,58.0,28.0,0.0,19.0,22.0,7.0,0.0,55.0,0.0,0.0,0.0,51.0,0.0,110.0
inquisition,0.0,237.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,27.0,21.0,2.0,0.0,56.0,0.0,41.0,0.0,2.0,0.0,140.0
interarmaenimsilentleges,0.0,228.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,13.0,0.0,0.0,4.0,4.0,0.0,0.0,20.0,0.0,0.0,0.0,3.0,0.0,164.0
inthecards,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,4.0,0.0,154.0,22.0,8.0,47.0,0.0,58.0,0.0,39.0,49.0,2.0,0.0,121.0
inthehandsoftheprophets,41.0,5.0,13.0,0.0,17.0,0.0,0.0,0.0,0.0,14.0,0.0,50.0,46.0,0.0,0.0,160.0,31.0,17.0,0.0,105.0,0.0,0.0,68.0,0.0,0.0,19.0
inthepalemoonlight,0.0,22.0,1.0,11.0,37.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,12.0,19.0,0.0,245.0,0.0,20.0,0.0,12.0,0.0,141.0
invasiveprocedures,0.0,71.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,32.0,13.0,50.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,23.0
itsonlyapapermoon,0.0,13.0,3.0,0.0,0.0,0.0,0.0,89.0,0.0,35.0,0.0,0.0,4.0,0.0,232.0,13.0,1.0,6.0,17.0,15.0,219.0,0.0,0.0,0.0,0.0,158.0
lethewhoiswithoutsin,0.0,50.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,69.0,0.0,21.0,0.0,0.0,0.0,155.0,0.0,103.0
lifesupport,42.0,141.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,49.0,0.0,85.0,11.0,23.0,6.0,0.0,26.0,0.0,0.0,90.0,0.0,0.0,58.0
littlegreenmen,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,104.0,9.0,35.0,245.0,138.0,2.0,0.0,0.0,0.0,5.0,0.0,78.0
lookingforparmachinallthewrongplaces,0.0,45.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,62.0,0.0,0.0,64.0,19.0,133.0,0.0,4.0,0.0,0.0,0.0,94.0,0.0,99.0
melora,0.0,157.0,2.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,21.0,26.0,75.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,25.0
