airdate,ep_name,number,rating,season,index
12 May 1997,Blaze of Glory,23,7.6,5,119
19 May 1997,Empok Nor,24,7.7,5,120
9 Jun. 1997,In the Cards,25,7.8,5,121
16 Jun. 1997,Call to Arms,26,9.0,5,122
29 Sep. 1997,A Time to Stand,1,8.5,6,123
6 Oct. 1997,Rocks and Shoals,2,8.6,6,124
13 Oct. 1997,Sons and Daughters,3,6.9,6,125
20 Oct. 1997,Behind the Lines,4,7.9,6,126
27 Oct. 1997,Favor the Bold,5,8.5,6,127
3 Nov. 1997,Sacrifice of Angels,6,8.9,6,128
10 Nov. 1997,You Are Cordially Invited...,7,7.4,6,129
17 Nov. 1997,Resurrection,8,5.7,6,130
24 Nov. 1997,Statistical Probabilities,9,7.7,6,131
1 Jan. 1998,The Magnificent Ferengi,10,8.0,6,132
8 Jan. 1998,Waltz,11,7.8,6,133
4 Feb. 1998,Who Mourns for Morn?,12,7.6,6,134
11 Feb. 1998,Far Beyond the Stars,13,8.8,6,135
18 Feb. 1998,One Little Ship,14,7.6,6,136
25 Feb. 1998,Honor Among Thieves,15,7.3,6,137
4 Mar. 1998,Change of Heart,16,7.0,6,138
1 Apr. 1998,Wrongs Darker Than Death or Night,17,6.8,6,139
8 Apr. 1998,Inquisition,18,8.2,6,140
15 Apr. 1998,In the Pale Moonlight,19,9.3,6,141
22 Apr. 1998,His Way,20,7.5,6,142
29 Apr. 1998,The Reckoning,21,7.2,6,143
6 May 1998,Valiant,22,7.0,6,144
13 May 1998,Profit and Lace,23,5.7,6,145
20 May 1998,Time's Orphan,24,6.3,6,146
10 Jun. 1998,The Sound of Her Voice,25,7.5,6,147
17 Jun. 1998,Tears of the Prophets,26,8.3,6,148
30 Sep. 1998,Image in the Sand,1,7.6,7,149
7 Oct. 1998,Shadows and Symbols,2,7.9,7,150
14 Oct. 1998,Afterimage,3,7.2,7,151
21 Oct. 1998,Take Me Out to the Holosuite,4,7.4,7,152
28 Oct. 1998,Chrysalis,5,7.1,7,153
2 Nov. 1998,"Treachery, Faith, and the Great River",6,8.2,7,154
11 Nov. 1998,Once More Unto the Breach,7,7.6,7,155
18 Nov. 1998,The Siege of AR-558,8,8.7,7,156
25 Nov. 1998,Covenant,9,6.6,7,157
30 Dec. 1998,It's Only a Paper Moon,10,8.1,7,158
6 Jan. 1999,Prodigal Daughter,11,6.3,7,159
3 Feb. 1999,The Emperor's New Cloak,12,6.3,7,160
10 Feb. 1999,Field of Fire,13,6.6,7,161
17 Feb. 1999,Chimera,14,7.2,7,162
24 Feb. 1999,"Badda-Bing, Badda-Bang",15,7.6,7,163
3 Mar. 1999,Inter Arma Enim Silent Leges,16,8.3,7,164
7 Apr. 1999,Penumbra,17,7.5,7,165
14 Apr. 1999,'Til Death Do Us Part,18,7.6,7,166
21 Apr. 1999,Strange Bedfellows,19,7.8,7,167
28 Apr. 1999,The Changing Face of Evil,20,8.4,7,168
5 May 1999,When It Rains...,21,8.1,7,169
12 May 1999,Tacking Into the Wind,22,8.7,7,170
19 May 1999,Extreme Measures,23,7.5,7,171
26 May 1999,The Dogs of War,24,8.2,7,172
2 Jun. 1999,What You Leave Behind,25,8.8,7,173
